code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
ASCO12,Astragalus convallarius Greene,lesser rushy milkvetch,Fabaceae,PF,PF
ASDR3,Astragalus drummondii Douglas ex Hook.,Drummond's milkvetch,Fabaceae,PF,PF
ASFI,Astragalus filipes Torr. ex A. Gray,basalt milkvetch,Fabaceae,PF,PF
ASFL2,Astragalus flexuosus Douglas ex G. Don,flexile milkvetch,Fabaceae,PF,PF
ASGE,Astragalus geyeri A. Gray,Geyer's milkvetch,Fabaceae,AF,AF
ASGI5,Astragalus gilviflorus Sheldon,plains milkvetch,Fabaceae,PF,PF
ASKE,Astragalus kentrophyta A. Gray,spiny milkvetch,Fabaceae,PF,PF
ASTRAPF,Astragalus L.,milkvetch,Fabaceae,PF,PF
ASLE8,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch,Fabaceae,PF,PF
ASLO4,Astragalus lotiflorus Hook.,lotus milkvetch,Fabaceae,PF,PF
ASMA6,Astragalus malacus A. Gray,shaggy milkvetch,Fabaceae,PF,PF
ASMI9,Astragalus miser Douglas ex Hook.,timber milkvetch,Fabaceae,PF,PF
ASOR2,Astragalus oreganus Nutt.,Oregon milkvetch,Fabaceae,PF,PF
ASPU9,Astragalus purshii Douglas ex Hook.,woollypod milkvetch,Fabaceae,PF,PF
ASSH3,Astragalus shortianus Nutt.,Short's milkvetch,Fabaceae,PF,PF
ASSP4,Astragalus spaldingii A. Gray,Spalding's milkvetch,Fabaceae,PF,PF
ASSP6,Astragalus spatulatus Sheldon,tufted milkvetch,Fabaceae,PF,PF
ASTE10,Astragalus tetrapterus A. Gray,fourwing milkvetch,Fabaceae,PF,PF
ASUT,Astragalus utahensis (Torr.) Torr. & A. Gray,Utah milkvetch,Fabaceae,PF,PF
LUAR6,Lupinus arbustus Douglas ex Lindl.,longspur lupine,Fabaceae,PF,PF
LUAR3,Lupinus argenteus Pursh,silvery lupine,Fabaceae,PF,PF
LUBR2,Lupinus brevicaulis S. Watson,shortstem lupine,Fabaceae,AF,AF
LUPINAF,Lupinus L.,lupine,Fabaceae,AF,AF
LULE2,Lupinus lepidus Douglas ex Lindl.,Pacific lupine,Fabaceae,PF,PF
LULE3,Lupinus leucophyllus Douglas ex Lindl.,velvet lupine,Fabaceae,PF,PF
LUPO2,Lupinus polyphyllus Lindl.,bigleaf lupine,Fabaceae,PF,PF
LUPU,Lupinus pusillus Pursh,rusty lupine,Fabaceae,AF,AF
LUSE4,Lupinus sericeus Pursh,silky lupine,Fabaceae,PF,PF
LUUN,Lupinus uncialis S. Watson,inchhigh lupine,Fabaceae,AF,AF
OXLA2,Oxytropis lagopus Nutt.,haresfoot locoweed,Fabaceae,PF,PF
OXSE,Oxytropis sericea Nutt.,white locoweed,Fabaceae,PF,PF
PSLA3,Psoralidium lanceolatum (Pursh) Rydb.,lemon scurfpea,Fabaceae,PF,PF
PSTE5,Psoralidium tenuiflorum (Pursh) Rydb.,slimflower scurfpea,Fabaceae,PF,PF
TRGY,Trifolium gymnocarpon Nutt.,hollyleaf clover,Fabaceae,PF,PF
VIAM,Vicia americana Muhl. ex Willd.,American vetch,Fabaceae,PF,PF
ERCI6,Erodium cicutarium (L.) L'H̩r. ex Aiton,redstem stork's bill,Geraniaceae,AF,AF
GEVI2,Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey.,sticky purple geranium,Geraniaceae,PF,PF
RICE,Ribes cereum Douglas,wax currant,Grossulariaceae,SH,SH
HYCA4,Hydrophyllum capitatum Douglas ex Benth.,ballhead waterleaf,Hydrophyllaceae,PF,PF
NAAR,Nama aretioides (Hook. & Arn.) Brand,ground nama,Hydrophyllaceae,AF,AF
NEBR,Nemophila breviflora A. Gray,basin nemophila,Hydrophyllaceae,AF,AF
PHGL2,Phacelia glandulifera Piper,sticky phacelia,Hydrophyllaceae,AF,AF
PHHA,Phacelia hastata Douglas ex Lehm.,silverleaf phacelia,Hydrophyllaceae,PF,PF
PHIN9,Phacelia incana Brand,hoary phacelia,Hydrophyllaceae,AF,AF
PHLI,Phacelia linearis (Pursh) Holz.,threadleaf phacelia,Hydrophyllaceae,AF,AF
PHTE,Phacelia tetramera J.T. Howell,fourpart phacelia,Hydrophyllaceae,AF,AF
AGUR,Agastache urticifolia (Benth.) Kuntze,nettleleaf giant hyssop,Lamiaceae,PF,PF
HEHI,Hedeoma hispida Pursh,rough false pennyroyal,Lamiaceae,AF,AF
ALAC4,Allium acuminatum Hook.,tapertip onion,Liliaceae,PF,PF
ALAT,Allium atrorubens S. Watson,darkred onion,Liliaceae,PF,PF
ALCE2,Allium cernuum Roth,nodding onion,Liliaceae,PF,PF
ALLIUPF,Allium L.,onion,Liliaceae,PF,PF
ALTE,Allium textile A. Nelson & J.F. Macbr.,textile onion,Liliaceae,PF,PF
ANBR4,Androstephium breviflorum S. Watson,pink funnel lily,Liliaceae,PF,PF
CAGU,Calochortus gunnisonii S. Watson,Gunnison's mariposa lily,Liliaceae,PF,PF
CAMA5,Calochortus macrocarpus Douglas,sagebrush mariposa lily,Liliaceae,PF,PF
CANU3,Calochortus nuttallii Torr. & A. Gray,sego lily,Liliaceae,PF,PF
FRAT,Fritillaria atropurpurea Nutt.,spotted fritillary,Liliaceae,PF,PF
FRPU2,Fritillaria pudica (Pursh) Spreng.,yellow fritillary,Liliaceae,PF,PF
ZIVE,Zigadenus venenosus S. Watson,meadow deathcamas,Liliaceae,PF,PF
LILE3,Linum lewisii Pursh,Lewis flax,Linaceae,PF,PF
MEAL6,Mentzelia albicaulis (Hook.) Torr. & A. Gray,whitestem blazingstar,Loasaceae,AF,AF
MEMO4,Mentzelia montana (Davidson) Davidson,variegated-bract blazingstar,Loasaceae,AF,AF
SPAM2,Sphaeralcea ambigua A. Gray,desert globemallow,Malvaceae,PF,PF
SPCO,Sphaeralcea coccinea (Nutt.) Rydb.,scarlet globemallow,Malvaceae,PF,PF
SPGR2,Sphaeralcea grossulariifolia (Hook. & Arn.) Rydb.,gooseberryleaf globemallow,Malvaceae,PF,PF
SPMU2,Sphaeralcea munroana (Douglas) Spach,Munro's globemallow,Malvaceae,PF,PF
SPPA2,Sphaeralcea parvifolia A. Nelson,small-leaf globemallow,Malvaceae,PF,PF
